,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
294,0.1,0.93,6,253,4,0,1,0,IT,medium
295,0.38,0.51,2,146,3,0,1,0,IT,medium
296,0.39,0.55,2,156,3,0,1,0,product_mng,medium
297,0.4,0.52,2,147,3,0,1,0,product_mng,medium
298,0.45,0.48,2,136,3,0,1,0,product_mng,medium
299,0.74,0.84,5,249,5,0,1,0,product_mng,medium
300,0.45,0.55,2,151,3,0,1,0,IT,medium
301,0.12,1.0,3,278,4,0,1,0,RandD,medium
302,0.1,0.77,7,250,5,0,1,0,RandD,medium
303,0.37,0.55,2,127,3,0,1,0,RandD,medium
304,0.89,0.87,5,255,5,0,1,0,RandD,medium
305,0.45,0.47,2,135,3,0,1,0,RandD,medium
306,0.37,0.46,2,149,3,0,1,0,marketing,high
307,0.11,0.81,5,287,4,0,1,0,sales,low
308,0.41,0.48,2,145,3,0,1,0,accounting,medium
309,0.1,0.94,6,285,4,0,1,0,support,medium
310,0.1,0.93,7,305,4,0,1,0,technical,medium
311,0.11,0.95,7,300,4,0,1,0,management,medium
312,0.4,0.54,2,139,3,0,1,0,marketing,low
313,0.41,0.49,2,130,3,0,1,0,marketing,low
314,0.1,0.81,6,268,4,0,1,0,marketing,low
315,0.73,0.86,4,245,6,0,1,0,sales,low
316,0.43,0.47,2,135,3,0,1,0,sales,low
317,0.37,0.46,2,153,3,0,1,0,sales,low
318,0.11,0.94,6,276,4,0,1,0,sales,low
319,0.4,0.46,2,130,3,0,1,0,sales,low
320,0.41,0.54,2,153,3,1,1,0,sales,low
321,0.82,0.84,5,244,5,0,1,0,sales,low
322,0.61,0.47,2,253,3,0,1,0,sales,low
323,0.11,0.91,7,287,4,0,1,0,sales,low
324,0.37,0.45,2,131,3,0,1,0,sales,low
325,0.41,0.52,2,135,3,0,1,0,sales,low
326,0.37,0.52,2,157,3,0,1,0,sales,low
327,0.88,0.99,5,262,6,0,1,0,sales,low
328,0.1,0.85,6,266,4,0,1,0,sales,low
329,0.44,0.48,2,148,3,0,1,0,sales,low
330,0.38,0.57,2,140,3,0,1,0,sales,low
331,0.11,0.85,7,302,4,0,1,0,sales,low
332,0.09,0.98,6,271,4,0,1,0,sales,low
333,0.45,0.52,2,145,3,0,1,0,sales,medium
334,0.1,0.81,6,290,4,0,1,0,accounting,medium
335,0.45,0.47,2,151,3,0,1,0,accounting,medium
336,0.77,0.87,5,266,5,0,1,0,accounting,medium
337,0.44,0.51,2,140,3,0,1,0,hr,medium
338,0.39,0.5,2,142,3,0,1,0,hr,medium
339,0.1,0.91,6,246,4,0,1,0,hr,medium
340,0.09,0.89,7,308,5,0,1,0,hr,medium
341,0.37,0.47,2,141,3,0,1,0,technical,medium
342,0.9,1.0,5,232,5,0,1,0,technical,medium
343,0.41,0.56,2,143,3,0,1,0,technical,medium
344,0.37,0.52,2,155,3,0,1,0,technical,medium
345,0.1,0.86,6,278,4,0,1,0,technical,high
346,0.81,1.0,4,253,5,0,1,0,technical,low
347,0.11,0.8,6,282,4,0,1,0,technical,medium
348,0.11,0.84,7,264,4,0,1,0,technical,medium
349,0.4,0.46,2,149,3,0,1,0,technical,medium
350,0.09,0.8,6,304,5,0,1,0,technical,medium
351,0.48,0.93,3,219,6,0,1,0,technical,low
352,0.91,0.91,4,262,6,0,1,0,support,low
353,0.43,0.57,2,135,3,0,1,0,support,low
354,0.33,0.88,6,219,5,0,1,0,support,low
355,0.41,0.57,2,136,3,0,1,0,support,low
356,0.41,0.55,2,154,3,0,1,0,support,low
357,0.37,0.54,2,149,3,0,1,0,support,low
358,0.31,0.62,6,135,5,0,1,0,support,low
359,0.09,0.91,6,275,4,0,1,0,support,low
360,0.1,0.87,6,290,4,0,1,0,support,low
361,0.76,0.9,4,263,5,0,1,0,support,low
362,0.41,0.54,2,145,3,0,1,0,support,low
363,0.72,0.96,5,267,5,0,1,0,technical,low
364,0.4,0.5,2,141,3,1,1,0,technical,low
365,0.91,0.87,4,235,5,0,1,0,technical,low
366,0.1,0.83,6,258,4,0,1,0,management,low
367,0.4,0.56,2,131,3,0,1,0,IT,low
368,0.82,0.86,5,243,5,0,1,0,IT,low
369,0.1,0.82,6,266,4,0,1,0,IT,low
370,0.37,0.45,2,142,3,0,1,0,IT,low
371,0.36,0.51,2,135,3,0,1,0,IT,low
372,0.39,0.48,2,141,3,0,1,0,product_mng,medium
373,0.36,0.57,2,142,3,0,1,0,product_mng,medium
374,0.86,0.84,5,254,5,0,1,0,product_mng,medium
375,0.73,0.99,5,262,5,0,1,0,product_mng,medium
376,0.56,0.71,4,296,2,0,1,0,IT,medium
377,0.44,0.56,2,158,3,0,1,0,accounting,medium
378,0.31,0.56,4,238,2,0,1,0,accounting,medium
379,0.77,0.93,4,231,5,0,1,0,hr,medium
380,0.44,0.45,2,156,3,0,1,0,hr,medium
381,0.38,0.46,2,145,3,0,1,0,hr,medium
382,0.45,0.48,2,144,3,0,1,0,marketing,medium
383,0.38,0.51,2,159,3,0,1,0,sales,medium
384,0.36,0.48,2,156,3,0,1,0,accounting,high
385,0.75,0.9,5,256,5,0,1,0,support,low
386,0.1,0.93,6,298,4,0,1,0,technical,medium
387,0.1,0.97,6,247,4,0,1,0,management,medium
388,0.45,0.5,2,157,3,0,1,0,marketing,medium
389,0.42,0.57,2,154,3,1,1,0,marketing,medium
390,0.78,1.0,4,253,5,0,1,0,marketing,low
391,0.45,0.55,2,148,3,0,1,0,sales,low
392,0.84,1.0,4,261,5,0,1,0,sales,low
393,0.11,0.93,6,282,4,0,1,0,sales,low
394,0.42,0.56,2,133,3,0,1,0,sales,low
395,0.45,0.46,2,128,3,0,1,0,sales,low
396,0.09,0.79,6,293,5,0,1,0,sales,low
397,0.87,0.83,4,265,6,0,1,0,sales,low
398,0.1,0.87,6,250,4,0,1,0,sales,low
399,0.91,1.0,5,251,6,0,1,0,sales,low
400,0.76,0.92,4,246,5,0,1,0,sales,low
401,0.74,1.0,5,275,5,0,1,0,sales,low
402,0.92,0.93,5,240,5,0,1,0,sales,low
403,0.76,0.87,5,245,5,0,1,0,sales,low
404,0.47,0.5,4,254,4,0,1,0,sales,low
405,0.73,0.99,5,241,5,0,1,0,sales,low
406,0.09,0.94,6,257,4,0,1,0,sales,low
407,0.91,0.92,4,246,5,0,1,0,sales,low
408,0.82,0.98,4,233,5,0,1,0,sales,low
409,0.28,0.45,6,218,4,0,1,0,accounting,low
410,0.84,0.99,4,262,6,0,1,0,accounting,medium
411,0.45,0.53,2,138,3,0,1,0,accounting,medium
412,0.45,0.54,2,142,3,0,1,0,hr,medium
413,0.91,0.97,5,233,5,0,1,0,hr,medium
414,0.42,0.48,2,155,3,0,1,0,hr,medium
415,0.82,1.0,4,229,6,0,1,0,hr,medium
416,0.11,0.9,6,264,4,0,1,0,technical,medium
417,0.42,0.53,3,199,4,0,1,0,technical,medium
418,0.82,0.85,4,223,5,0,1,0,technical,medium
419,0.09,0.96,6,268,4,0,1,0,technical,medium
420,0.1,0.94,6,287,4,0,1,0,technical,medium
421,0.86,1.0,5,257,5,0,1,0,technical,medium
422,0.4,0.46,2,143,3,0,1,0,technical,high
423,0.45,0.46,2,130,3,0,1,0,technical,low
424,0.42,0.51,2,136,3,0,1,0,technical,medium
425,0.74,0.92,4,261,5,0,1,0,technical,medium
426,0.55,0.6,3,180,4,0,1,0,technical,medium
427,0.37,0.45,2,126,3,0,1,0,support,medium
428,0.41,0.52,2,127,3,1,1,0,support,low
429,0.89,0.65,5,195,6,0,1,0,support,low
430,0.41,0.57,2,160,3,0,1,0,support,low
431,0.44,0.51,2,150,3,0,1,0,support,low
432,0.87,0.84,4,264,6,0,1,0,support,low
433,0.1,0.84,6,309,4,0,1,0,support,low
434,0.41,0.47,2,135,3,0,1,0,support,low
435,0.11,0.85,6,261,4,0,1,0,support,low
436,0.43,0.53,2,160,3,0,1,0,support,low
437,0.77,0.9,4,237,5,0,1,0,support,low
438,0.41,0.52,2,136,3,0,1,0,technical,low
439,0.41,0.48,2,139,3,0,1,0,technical,low
440,0.36,0.78,2,151,4,0,1,0,technical,low
441,0.77,1.0,5,229,5,0,1,0,management,low
442,0.81,0.98,5,245,5,0,1,0,IT,low
443,0.39,0.54,2,127,3,0,1,0,IT,low
444,0.09,0.94,6,283,5,0,1,0,IT,low
445,0.44,0.46,2,143,3,0,1,0,IT,low
446,0.1,0.84,5,298,4,0,1,0,IT,low
447,0.36,0.48,2,159,3,0,1,0,product_mng,low
448,0.81,0.92,5,239,5,0,1,0,product_mng,low
449,0.81,0.9,4,226,5,0,1,0,product_mng,medium
450,0.85,0.98,5,248,5,0,1,0,product_mng,medium
451,0.1,0.87,6,286,4,0,1,0,IT,medium
452,0.37,0.54,2,145,3,0,1,0,RandD,medium
453,0.09,0.97,7,254,4,1,1,0,RandD,medium
454,0.44,0.53,2,127,3,0,1,0,RandD,medium
455,0.86,0.93,5,223,5,0,1,0,RandD,medium
456,0.77,1.0,4,255,5,0,1,0,RandD,medium
457,0.41,0.48,2,136,3,0,1,0,marketing,medium
458,0.4,0.48,2,137,3,0,1,0,sales,medium
459,0.43,0.49,2,135,3,0,1,0,accounting,medium
460,0.43,0.5,2,137,3,0,1,0,support,medium
461,0.8,0.53,3,255,5,0,1,0,technical,high
462,0.8,0.85,4,273,5,0,1,0,management,low
463,0.82,0.98,5,234,5,0,1,0,marketing,medium
464,0.37,0.54,2,152,3,0,1,0,marketing,medium
465,0.37,0.48,2,134,3,0,1,0,marketing,medium
466,0.09,0.95,6,292,4,0,1,0,sales,medium
467,0.9,0.92,5,245,5,0,1,0,sales,low
468,0.41,0.52,2,159,3,0,1,0,sales,low
469,0.1,0.85,6,260,4,0,1,0,sales,low
470,0.44,0.53,2,149,3,0,1,0,sales,low
471,0.89,0.85,5,266,5,0,1,0,sales,low
472,0.42,0.56,2,149,3,0,1,0,sales,low
473,0.87,1.0,5,242,5,0,1,0,sales,low
474,0.45,0.57,2,134,3,0,1,0,sales,low
475,0.11,0.87,5,271,4,0,1,0,sales,low
476,0.09,0.79,6,275,4,0,1,0,sales,low
477,0.76,0.83,5,227,5,0,1,0,sales,low
478,0.11,0.96,7,277,5,0,1,0,sales,low
479,0.37,0.49,2,151,3,0,1,0,sales,low
480,0.1,0.79,6,274,4,0,1,0,sales,low
481,0.77,0.87,4,242,6,0,1,0,sales,low
482,0.42,0.54,2,143,3,1,1,0,sales,low
483,0.38,0.52,2,145,3,0,1,0,sales,low
484,0.32,0.95,5,172,2,0,1,0,sales,low
485,0.38,0.49,2,135,3,0,1,0,accounting,low
486,0.19,1.0,4,192,4,0,1,0,accounting,low
487,0.1,0.83,7,276,4,0,1,0,accounting,low
488,0.76,0.88,4,206,4,0,1,0,hr,medium
489,0.53,0.56,4,281,6,0,1,0,hr,medium
490,0.39,0.51,2,151,3,0,1,0,hr,medium
491,0.11,0.83,6,244,4,0,1,0,hr,medium
492,0.1,0.94,6,309,4,0,1,0,technical,medium
493,0.84,1.0,5,218,5,0,1,0,technical,medium
494,0.82,0.99,4,263,6,0,1,0,technical,medium
495,0.1,0.82,6,244,4,0,1,0,technical,medium
496,0.59,0.49,7,263,4,0,1,0,technical,medium
497,0.44,0.48,2,143,3,0,1,0,technical,medium
498,0.89,0.95,2,181,5,0,1,0,technical,medium
499,0.91,0.84,5,265,5,0,1,0,technical,medium
500,0.66,0.57,5,161,5,0,1,0,technical,high
501,0.11,0.87,7,282,5,0,1,0,technical,low
502,0.43,0.51,2,155,3,0,1,0,technical,medium
503,0.78,0.83,4,217,6,0,1,0,support,medium
504,0.11,0.97,6,289,5,0,1,0,support,medium
505,0.83,0.98,4,259,5,0,1,0,support,medium
